id,universidad,carrera,area_academica,modalidad,semestres,fecha_oferta,ciudad
318,Tecnologica Del Valle,tec. en informatica,artes,virtual,8,2024-07-18,oaxaca capital
319,Tecnologica Del Valle,tec en mecanica,artes,virtual,8,2024-09-23,Salina Cruz
320,Tebacsso,contabilidad,derecho,virtual,8,2024-06-07,oaxaca capital
321,Univers. Autonoma,tec en mecanica,ciencias sociales,virtual,6,2024-03-03,Ixtlan
322,Cecyte,lic. en comunicacion,humanidades,virtual,8,2024-08-23,Huajuapan
323,Instituto Superior,contabilidad,humanidades,semi presencial,8,2024-10-25,Pochutla
324,Uabjo,diseño grafico,tecnologia,presencial,6,2024-02-02,Etla
325,Uabjo,lic. en economia,ciencias sociales,virtual,10,2024-10-12,oaxaca capital
326,Conalep,ingenieria en sistemas computacionales,tecnologia,presencial,6,2024-01-08,Tlacolula
327,Centro De Estudios,lic. en comunicacion,economia,presencial,6,2024-08-31,Pochutla
328,Uabjo,lic. en filosofia,salud,semi presencial,8,2024-08-22,Xoxocotlan
329,Ujat,administracion de empresas,ingenieria,presencial,8,2024-02-02,Xoxocotlan
330,Conalep,ingenieria civil,ingenieria,virtual,10,2024-07-18,Ixtlan
331,Ujat,lic. en economia,salud,virtual,10,2024-08-15,Ixtlan
332,Conalep,ingenieria civil,humanidades,virtual,10,2024-05-11,Salina Cruz
333,Colegio De Bachilleres,contabilidad,salud,semi presencial,6,2024-04-15,Salina Cruz
334,Cecyte,ingenieria civil,administracion,presencial,6,2024-02-15,Pochutla
335,Ujat,contabilidad,economia,semi presencial,8,2024-05-17,Ixtlan
336,Colegio De Bachilleres,lic. en filosofia,educacion,virtual,6,2024-02-20,oaxaca capital
337,Ies Oaxaca,lic. en biologia,ciencias sociales,presencial,8,2024-12-28,Huajuapan
338,Univers. Autonoma,tec. en electronica,economia,semi presencial,8,2024-03-26,Xoxocotlan
339,Ujat,administracion de empresas,artes,virtual,6,2024-03-18,Huajuapan
340,Instituto Superior,lic. en educacion,derecho,presencial,10,2024-12-10,Lachixio
341,Colegio De Bachilleres,diseño grafico,derecho,semi presencial,10,2024-04-29,Etla
342,Uabjo,tec en mecanica,ingenieria,semi presencial,10,2024-03-07,Tlacolula
343,Escuela Normal,lic. en psicologia,artes,virtual,8,2024-08-02,Ixtlan
344,Tebacsso,ingenieria electronica,economia,semi presencial,10,2024-12-28,Pochutla
345,Uabjo,diseño grafico,humanidades,semi presencial,6,2024-10-30,Etla
346,Escuela Normal,lic. en derecho,administracion,presencial,8,2024-05-10,Lachixio
347,Ujat,lic. en turismo,economia,virtual,6,2024-06-10,juarez
348,Tecnologica Del Valle,lic. en filosofia,salud,semi presencial,10,2024-10-12,Salina Cruz
349,Ujat,diseño grafico,administracion,virtual,10,2024-02-17,Ixtlan
350,Tecnologica Del Valle,ingenieria electronica,tecnologia,virtual,6,2024-10-04,oaxaca capital
351,Instituto Superior,administracion de empresas,economia,presencial,8,2024-07-29,oaxaca capital
352,Instituto Tecnologico,lic. en derecho,derecho,semi presencial,8,2024-07-31,Xoxocotlan
353,Instituto Superior,ingenieria en sistemas computacionales,artes,virtual,6,2024-08-07,oaxaca capital
354,Instituto Superior,lic. en filosofia,economia,virtual,10,2024-02-14,oaxaca capital
355,Ujat,lic. en economia,artes,semi presencial,10,2024-11-17,Lachixio
356,Cecyte,diseño grafico,artes,virtual,8,2024-05-05,Huajuapan
357,Univers. Autonoma,lic en enfermeria,ingenieria,semi presencial,8,2024-02-15,Salina Cruz
358,Tecnologica Del Valle,lic. en filosofia,educacion,presencial,8,2024-03-03,oaxaca capital
359,Centro De Estudios,lic. en derecho,derecho,semi presencial,6,2024-05-31,oaxaca capital
360,Escuela Normal,lic. en educacion,educacion,presencial,10,2024-02-12,Huajuapan
361,Escuela Normal,diseño grafico,ingenieria,presencial,10,2024-09-13,Huajuapan
362,Instituto Superior,tec. en electronica,ciencias sociales,virtual,6,2024-02-26,Etla
363,Conalep,lic en enfermeria,ciencias sociales,presencial,6,2024-06-10,Etla
364,Ujat,tec. en informatica,ciencias sociales,semi presencial,10,2024-12-18,Ixtlan
365,Instituto Superior,administracion de empresas,economia,presencial,10,2024-08-23,Pochutla
366,Centro De Estudios,lic. en turismo,economia,presencial,8,2024-05-09,Ixtlan
367,Instituto Superior,tec en mecanica,derecho,virtual,10,2024-05-11,oaxaca capital
368,Centro De Estudios,ingenieria en sistemas computacionales,ciencias sociales,presencial,6,2024-08-20,Etla
369,Uabjo,ingenieria electronica,ciencias sociales,presencial,8,2024-03-22,Etla
370,Instituto Tecnologico,tec. en electronica,educacion,virtual,10,2024-11-30,Ixtlan
371,Cecyte,diseño grafico,artes,semi presencial,10,2024-07-24,Pochutla
372,Tebacsso,tec. en electronica,derecho,virtual,8,2024-08-28,Salina Cruz
373,Univers. Autonoma,tec en mecanica,tecnologia,virtual,6,2024-06-28,oaxaca capital
374,Colegio De Bachilleres,ingenieria electronica,derecho,semi presencial,8,2024-07-13,Etla
375,Uabjo,administracion de empresas,administracion,presencial,10,2024-11-07,Ixtlan
376,Instituto Superior,lic. en economia,humanidades,semi presencial,10,2024-10-26,oaxaca capital
377,Uabjo,lic. en economia,derecho,semi presencial,6,2024-06-20,juarez
378,Instituto Tecnologico,lic. en psicologia,derecho,presencial,10,2024-04-21,juarez
379,Escuela Normal,lic en enfermeria,administracion,presencial,10,2024-06-26,Etla
380,Tebacsso,contabilidad,humanidades,semi presencial,8,2024-06-01,Ixtlan
381,Escuela Normal,lic. en economia,artes,presencial,6,2024-10-11,Etla
382,Tecnologica Del Valle,tec en mecanica,humanidades,presencial,8,2024-03-27,Ixtlan
383,Uabjo,lic. en comunicacion,artes,semi presencial,10,2024-07-29,juarez
384,Univers. Autonoma,tec. en electronica,humanidades,virtual,6,2024-08-11,Etla
385,Ujat,lic. en derecho,educacion,presencial,8,2024-01-01,Tlacolula
386,Tecnologica Del Valle,contabilidad,ingenieria,presencial,10,2024-05-20,Tlacolula
387,Univers. Autonoma,lic. en comunicacion,ciencias sociales,presencial,10,2024-08-08,oaxaca capital
388,Instituto Tecnologico,tec. en electronica,artes,semi presencial,8,2024-06-15,Lachixio
389,Cecyte,ingenieria en sistemas computacionales,ciencias sociales,virtual,6,2024-11-29,juarez
390,Ujat,lic. en psicologia,derecho,virtual,10,2024-07-01,Etla
391,Ies Oaxaca,tec. en informatica,economia,semi presencial,6,2024-05-12,Ixtlan
392,Tecnologica Del Valle,ingenieria en sistemas computacionales,educacion,virtual,6,2024-07-11,Pochutla
393,Centro De Estudios,lic. en psicologia,tecnologia,virtual,10,2024-03-18,Pochutla
394,Centro De Estudios,lic. en economia,economia,semi presencial,6,2024-04-26,Pochutla
395,Tebacsso,lic. en biologia,tecnologia,semi presencial,8,2024-12-03,Etla
396,Conalep,lic. en filosofia,ciencias sociales,virtual,6,2024-03-21,Xoxocotlan
397,Escuela Normal,lic. en biologia,economia,semi presencial,6,2024-09-05,Etla
398,Tecnologica Del Valle,ingenieria en sistemas computacionales,artes,presencial,10,2024-01-29,juarez
399,Ujat,lic. en economia,administracion,semi presencial,8,2024-10-13,Huajuapan
400,Cecyte,lic en enfermeria,administracion,presencial,8,2024-03-30,Salina Cruz
401,Instituto Tecnologico,lic. en educacion,humanidades,presencial,10,2024-02-14,Salina Cruz
402,Instituto Tecnologico,lic. en filosofia,salud,semi presencial,10,2024-05-12,Etla
403,Escuela Normal,lic. en derecho,tecnologia,virtual,10,2024-02-25,Pochutla
404,Tebacsso,lic. en educacion,educacion,presencial,8,2024-05-03,Ixtlan
405,Instituto Tecnologico,lic. en educacion,economia,semi presencial,8,2024-01-20,Tlacolula
406,Ujat,tec. en electronica,humanidades,semi presencial,6,2024-05-20,Salina Cruz
407,Centro De Estudios,tec. en electronica,ingenieria,presencial,10,2024-01-05,Etla
408,Escuela Normal,lic. en turismo,derecho,semi presencial,10,2024-01-17,Xoxocotlan
409,Tebacsso,lic. en educacion,salud,presencial,8,2024-06-28,oaxaca capital
410,Cecyte,tec. en electronica,artes,presencial,10,2024-12-01,Xoxocotlan
411,Ujat,ingenieria en sistemas computacionales,salud,semi presencial,10,2024-04-26,Pochutla
412,Ujat,lic. en economia,economia,virtual,6,2024-11-05,Pochutla
413,Tecnologica Del Valle,ingenieria en sistemas computacionales,administracion,virtual,6,2024-11-26,Tlacolula
414,Instituto Tecnologico,lic. en derecho,economia,semi presencial,10,2024-10-13,Tlacolula
415,Escuela Normal,lic. en filosofia,salud,semi presencial,6,2024-01-01,Huajuapan
416,Uabjo,contabilidad,salud,semi presencial,6,2024-04-09,Tlacolula
417,Ujat,lic. en turismo,educacion,semi presencial,10,2024-07-12,Huajuapan
418,Tebacsso,lic. en turismo,salud,virtual,6,2024-07-20,Tlacolula
419,Ujat,lic. en comunicacion,ingenieria,semi presencial,6,2024-02-01,juarez
420,Ies Oaxaca,tec en mecanica,humanidades,semi presencial,10,2024-04-07,Etla
421,Escuela Normal,tec. en electronica,ciencias sociales,presencial,10,2024-03-01,oaxaca capital
422,Cecyte,lic. en biologia,artes,semi presencial,6,2024-10-20,Ixtlan
423,Uabjo,contabilidad,humanidades,semi presencial,8,2024-02-11,Tlacolula
424,Instituto Tecnologico,lic en enfermeria,ciencias sociales,virtual,10,2024-10-29,Lachixio
425,Univers. Autonoma,lic. en filosofia,humanidades,presencial,10,2024-10-12,Huajuapan
426,Ujat,contabilidad,derecho,virtual,10,2024-08-20,juarez
427,Instituto Tecnologico,lic. en turismo,artes,virtual,6,2024-03-15,oaxaca capital
428,Univers. Autonoma,ingenieria civil,derecho,virtual,8,2024-07-12,Salina Cruz
429,Ies Oaxaca,ingenieria electronica,administracion,presencial,10,2024-03-02,oaxaca capital
430,Ies Oaxaca,ingenieria electronica,ciencias sociales,virtual,6,2024-11-06,Etla
431,Centro De Estudios,tec en mecanica,tecnologia,presencial,8,2024-04-13,Salina Cruz
432,Ujat,administracion de empresas,salud,presencial,8,2024-01-08,Huajuapan
433,Conalep,administracion de empresas,derecho,semi presencial,10,2024-11-05,Ixtlan
434,Conalep,tec en mecanica,tecnologia,semi presencial,8,2024-03-22,Salina Cruz
435,Cecyte,ingenieria civil,administracion,presencial,10,2024-05-18,Pochutla
436,Cecyte,administracion de empresas,economia,virtual,6,2024-02-23,Tlacolula
437,Uabjo,lic. en educacion,humanidades,presencial,8,2024-04-07,Huajuapan
438,Cecyte,lic. en biologia,ciencias sociales,virtual,10,2024-06-04,Xoxocotlan
439,Tebacsso,ingenieria electronica,ingenieria,virtual,8,2024-11-18,Salina Cruz
440,Conalep,lic. en educacion,humanidades,virtual,8,2024-11-30,Xoxocotlan
441,Conalep,lic. en biologia,educacion,virtual,8,2024-05-12,Xoxocotlan
442,Instituto Tecnologico,ingenieria en sistemas computacionales,derecho,semi presencial,6,2024-02-11,Ixtlan
443,Tecnologica Del Valle,lic. en economia,humanidades,presencial,6,2024-12-02,Xoxocotlan
444,Tebacsso,ingenieria civil,ciencias sociales,semi presencial,6,2024-12-13,oaxaca capital
445,Cecyte,lic. en comunicacion,economia,semi presencial,8,2024-02-13,oaxaca capital
446,Univers. Autonoma,lic. en derecho,salud,semi presencial,6,2024-11-15,oaxaca capital
447,Conalep,lic. en biologia,administracion,semi presencial,6,2024-02-05,Xoxocotlan
448,Cecyte,lic. en turismo,administracion,presencial,6,2024-03-27,Lachixio
449,Centro De Estudios,lic. en educacion,ciencias sociales,semi presencial,8,2024-10-30,Huajuapan
450,Cecyte,contabilidad,economia,semi presencial,8,2024-05-02,juarez
451,Escuela Normal,lic. en filosofia,administracion,presencial,10,2024-04-16,Pochutla
452,Instituto Tecnologico,contabilidad,humanidades,semi presencial,10,2024-06-18,Lachixio
453,Univers. Autonoma,ingenieria en sistemas computacionales,salud,virtual,10,2024-01-04,Ixtlan
454,Colegio De Bachilleres,contabilidad,ingenieria,presencial,6,2024-10-02,Huajuapan
455,Centro De Estudios,diseño grafico,artes,presencial,6,2024-05-23,Xoxocotlan
456,Ies Oaxaca,ingenieria civil,tecnologia,presencial,6,2024-02-16,Etla
457,Tebacsso,tec en mecanica,derecho,presencial,8,2024-11-23,juarez
458,Escuela Normal,ingenieria civil,ingenieria,virtual,6,2024-07-22,Xoxocotlan
459,Instituto Superior,ingenieria electronica,humanidades,semi presencial,8,2024-09-08,Huajuapan
460,Escuela Normal,tec. en informatica,derecho,semi presencial,8,2024-07-18,Etla
461,Instituto Superior,ingenieria civil,educacion,presencial,10,2024-07-03,oaxaca capital
462,Ies Oaxaca,lic. en biologia,ingenieria,semi presencial,8,2024-09-13,juarez
463,Instituto Tecnologico,lic. en biologia,salud,presencial,6,2024-03-30,Salina Cruz
464,Escuela Normal,lic. en filosofia,ciencias sociales,semi presencial,6,2024-05-24,Huajuapan
465,Escuela Normal,ingenieria en sistemas computacionales,ingenieria,semi presencial,6,2024-10-10,Salina Cruz
466,Ujat,administracion de empresas,educacion,virtual,8,2024-09-17,oaxaca capital
467,Tebacsso,lic. en turismo,salud,semi presencial,6,2024-10-09,Tlacolula
468,Tebacsso,tec. en informatica,ingenieria,virtual,10,2024-05-13,Lachixio
469,Tebacsso,lic. en economia,ingenieria,presencial,6,2024-08-22,Pochutla
470,Tebacsso,lic en enfermeria,derecho,semi presencial,8,2024-05-19,Tlacolula
471,Ujat,lic. en biologia,economia,semi presencial,6,2024-02-05,Etla
472,Instituto Tecnologico,lic. en turismo,ciencias sociales,virtual,6,2024-01-16,oaxaca capital
473,Uabjo,lic. en filosofia,economia,virtual,10,2024-07-14,Salina Cruz
474,Ujat,ingenieria en sistemas computacionales,administracion,semi presencial,6,2024-12-18,Salina Cruz
475,Centro De Estudios,tec en mecanica,humanidades,semi presencial,8,2024-01-18,oaxaca capital
476,Ies Oaxaca,tec en mecanica,administracion,virtual,10,2024-03-06,Pochutla
477,Tebacsso,tec. en informatica,artes,semi presencial,10,2024-06-26,Pochutla
478,Tecnologica Del Valle,contabilidad,derecho,semi presencial,10,2024-06-04,juarez
479,Cecyte,lic. en biologia,derecho,semi presencial,6,2024-02-16,Huajuapan
480,Tebacsso,contabilidad,humanidades,presencial,8,2024-07-30,Tlacolula
481,Instituto Tecnologico,tec. en informatica,salud,virtual,8,2024-01-21,Pochutla
482,Instituto Superior,tec. en informatica,administracion,presencial,6,2024-03-03,juarez
483,Colegio De Bachilleres,lic. en psicologia,artes,presencial,10,2024-12-10,oaxaca capital
484,Escuela Normal,contabilidad,humanidades,presencial,6,2024-11-23,Huajuapan
485,Ies Oaxaca,diseño grafico,educacion,semi presencial,8,2024-07-12,Ixtlan
486,Tecnologica Del Valle,lic. en derecho,salud,virtual,10,2024-04-04,Tlacolula
487,Tebacsso,lic. en comunicacion,ciencias sociales,semi presencial,10,2024-06-04,juarez
488,Tebacsso,lic. en comunicacion,salud,semi presencial,8,2024-12-25,Tlacolula
489,Conalep,lic. en comunicacion,administracion,semi presencial,6,2024-01-20,Tlacolula
490,Ujat,lic. en derecho,ingenieria,virtual,10,2024-07-31,Xoxocotlan
491,Tecnologica Del Valle,tec. en informatica,tecnologia,presencial,10,2024-10-17,Etla
492,Instituto Tecnologico,lic. en economia,ingenieria,virtual,8,2024-12-16,Xoxocotlan
493,Ies Oaxaca,lic. en educacion,educacion,presencial,10,2024-10-28,juarez
494,Conalep,diseño grafico,ingenieria,semi presencial,8,2024-12-28,Etla
495,Centro De Estudios,tec. en informatica,ingenieria,presencial,10,2024-03-07,Salina Cruz
496,Tecnologica Del Valle,lic. en economia,ciencias sociales,presencial,6,2024-05-06,Etla
497,Ujat,lic. en educacion,artes,virtual,8,2024-09-02,Huajuapan
498,Uabjo,diseño grafico,derecho,presencial,8,2024-10-08,Xoxocotlan
499,Tebacsso,lic. en educacion,ciencias sociales,semi presencial,10,2024-03-26,juarez
500,Conalep,lic. en educacion,economia,virtual,10,2024-12-20,Salina Cruz
501,Escuela Normal,ingenieria en sistemas computacionales,artes,virtual,8,2024-05-19,Tlacolula
502,Centro De Estudios,ingenieria en sistemas computacionales,educacion,semi presencial,8,2024-05-05,Lachixio
503,Ies Oaxaca,ingenieria en sistemas computacionales,ingenieria,presencial,6,2024-02-06,Pochutla
504,Ujat,lic en enfermeria,humanidades,virtual,10,2024-05-29,Tlacolula
505,Escuela Normal,ingenieria en sistemas computacionales,humanidades,presencial,8,2024-01-06,Tlacolula
506,Instituto Tecnologico,lic en enfermeria,derecho,presencial,6,2024-12-14,Salina Cruz
507,Conalep,lic. en comunicacion,artes,virtual,6,2024-04-05,Pochutla
508,Tebacsso,lic. en economia,artes,virtual,10,2024-11-07,Lachixio
509,Cecyte,administracion de empresas,ingenieria,presencial,10,2024-01-18,Etla
510,Instituto Superior,lic en enfermeria,educacion,semi presencial,6,2024-05-17,Salina Cruz
511,Colegio De Bachilleres,lic. en economia,ingenieria,semi presencial,8,2024-04-15,Etla
512,Centro De Estudios,ingenieria electronica,educacion,semi presencial,10,2024-11-17,Etla
513,Instituto Tecnologico,lic. en psicologia,humanidades,virtual,8,2024-01-12,Tlacolula
514,Ies Oaxaca,lic. en psicologia,derecho,semi presencial,6,2024-03-11,Tlacolula
515,Cecyte,contabilidad,educacion,semi presencial,10,2024-08-26,Huajuapan
516,Uabjo,lic en enfermeria,educacion,semi presencial,6,2024-10-14,Pochutla
517,Instituto Superior,administracion de empresas,administracion,virtual,6,2024-06-03,oaxaca capital
518,Colegio De Bachilleres,lic. en filosofia,tecnologia,virtual,6,2024-08-30,oaxaca capital
519,Colegio De Bachilleres,administracion de empresas,educacion,virtual,6,2024-04-09,Huajuapan
520,Univers. Autonoma,ingenieria en sistemas computacionales,artes,presencial,6,2024-02-01,Xoxocotlan
521,Univers. Autonoma,ingenieria en sistemas computacionales,tecnologia,virtual,8,2024-10-29,Huajuapan
522,Escuela Normal,ingenieria en sistemas computacionales,administracion,virtual,6,2024-03-16,Etla
523,Instituto Tecnologico,lic. en biologia,salud,virtual,8,2024-01-11,Ixtlan
524,Instituto Superior,lic. en psicologia,educacion,presencial,10,2024-08-19,Pochutla
525,Centro De Estudios,lic. en turismo,ciencias sociales,virtual,6,2024-08-21,oaxaca capital
526,Colegio De Bachilleres,tec en mecanica,salud,virtual,8,2024-11-10,Tlacolula
527,Centro De Estudios,lic. en filosofia,tecnologia,semi presencial,6,2024-07-16,Lachixio
528,Conalep,lic en enfermeria,artes,presencial,10,2024-09-27,Lachixio
529,Colegio De Bachilleres,tec. en electronica,derecho,semi presencial,8,2024-11-02,oaxaca capital
530,Uabjo,tec. en electronica,derecho,presencial,10,2024-07-17,Pochutla
531,Colegio De Bachilleres,lic. en psicologia,ingenieria,semi presencial,6,2024-12-28,Lachixio
532,Instituto Superior,administracion de empresas,economia,semi presencial,6,2024-01-31,Etla
533,Ies Oaxaca,lic en enfermeria,economia,semi presencial,6,2024-05-15,Lachixio
534,Ujat,lic. en biologia,humanidades,semi presencial,10,2024-12-16,Etla
535,Tebacsso,lic. en educacion,economia,virtual,10,2024-11-19,oaxaca capital
536,Instituto Superior,lic. en derecho,administracion,presencial,6,2024-09-13,Xoxocotlan
537,Univers. Autonoma,ingenieria en sistemas computacionales,educacion,semi presencial,8,2024-02-17,oaxaca capital
538,Univers. Autonoma,ingenieria civil,ciencias sociales,presencial,10,2024-03-08,Pochutla
539,Ujat,tec en mecanica,ciencias sociales,presencial,8,2024-11-02,Tlacolula
540,Ujat,lic. en educacion,economia,semi presencial,6,2024-03-16,Tlacolula
541,Escuela Normal,ingenieria en sistemas computacionales,economia,presencial,10,2024-09-15,juarez
542,Uabjo,contabilidad,derecho,presencial,10,2024-03-20,juarez
543,Ies Oaxaca,lic. en filosofia,tecnologia,virtual,10,2024-02-23,Huajuapan
544,Escuela Normal,lic. en economia,tecnologia,presencial,6,2024-01-08,oaxaca capital
545,Colegio De Bachilleres,lic. en comunicacion,educacion,presencial,10,2024-11-18,Pochutla
546,Centro De Estudios,lic. en comunicacion,ingenieria,presencial,6,2024-04-15,oaxaca capital
